DATE,M11006USM315NNBR
1890-01-01,129.5
1890-02-01,126.0
1890-03-01,123.5
1890-04-01,127.0
1890-05-01,139.0
1890-06-01,136.0
1890-07-01,132.5
1890-08-01,130.0
1890-09-01,124.5
1890-10-01,116.0
1890-11-01,104.0
1890-12-01,99.0
1891-01-01,107.5
1891-02-01,109.0
1891-03-01,104.5
1891-04-01,110.5
1891-05-01,110.5
1891-06-01,105.5
1891-07-01,102.5
1891-08-01,110.0
1891-09-01,124.0
1891-10-01,125.0
1891-11-01,119.0
1891-12-01,125.0
1892-01-01,128.0
1892-02-01,126.5
1892-03-01,125.5
1892-04-01,124.5
1892-05-01,122.5
1892-06-01,120.5
1892-07-01,122.5
1892-08-01,125.0
1892-09-01,118.5
1892-10-01,123.0
1892-11-01,119.5
1892-12-01,115.5
1893-01-01,119.0
1893-02-01,114.5
1893-03-01,107.5
1893-04-01,109.0
1893-05-01,95.0
1893-06-01,87.5
1893-07-01,76.5
1893-08-01,74.5
1893-09-01,82.0
1893-10-01,85.5
1893-11-01,87.0
1893-12-01,83.5
1894-01-01,82.0
1894-02-01,83.5
1894-03-01,87.0
1894-04-01,89.0
1894-05-01,82.0
1894-06-01,77.5
1894-07-01,75.0
1894-08-01,81.0
1894-09-01,84.0
1894-10-01,80.5
1894-11-01,80.5
1894-12-01,78.0
1895-01-01,74.0
1895-02-01,73.0
1895-03-01,73.5
1895-04-01,80.0
1895-05-01,87.5
1895-06-01,91.0
1895-07-01,93.0
1895-08-01,95.0
1895-09-01,96.5
1895-10-01,93.0
1895-11-01,86.0
1895-12-01,77.5
1896-01-01,77.0
1896-02-01,83.0
1896-03-01,80.5
1896-04-01,84.0
1896-05-01,79.5
1896-06-01,79.5
1896-07-01,71.0
1896-08-01,65.5
1896-09-01,72.5
1896-10-01,75.0
1896-11-01,84.5
1896-12-01,79.5
1897-01-01,79.5
1897-02-01,76.5
1897-03-01,76.5
1897-04-01,72.0
1897-05-01,72.0
1897-06-01,77.0
1897-07-01,83.0
1897-08-01,93.0
1897-09-01,99.5
1897-10-01,95.5
1897-11-01,90.0
1897-12-01,93.5
1898-01-01,96.0
1898-02-01,94.5
1898-03-01,87.5
1898-04-01,86.0
1898-05-01,92.0
1898-06-01,97.5
1898-07-01,95.0
1898-08-01,98.5
1898-09-01,97.5
1898-10-01,96.5
1898-11-01,97.5
1898-12-01,109.0
1899-01-01,121.0
1899-02-01,125.5
1899-03-01,123.5
1899-04-01,125.5
1899-05-01,124.0
1899-06-01,122.0
1899-07-01,129.0
1899-08-01,136.0
1899-09-01,135.5
1899-10-01,133.5
1899-11-01,137.5
1899-12-01,126.5
1900-01-01,128.0
1900-02-01,131.0
1900-03-01,135.5
1900-04-01,140.0
1900-05-01,132.0
1900-06-01,126.5
1900-07-01,128.0
1900-08-01,127.5
1900-09-01,122.0
1900-10-01,131.5
1900-11-01,143.5
1900-12-01,159.5
1901-01-01,169.0
1901-02-01,177.5
1901-03-01,192.5
1901-04-01,212.5
1901-05-01,204.0
1901-06-01,228.5
1901-07-01,215.5
1901-08-01,218.0
1901-09-01,223.5
1901-10-01,222.0
1901-11-01,233.0
1901-12-01,228.5
1902-01-01,232.0
1902-02-01,237.5
1902-03-01,238.5
1902-04-01,248.5
1902-05-01,248.5
1902-06-01,253.0
1902-07-01,258.5
1902-08-01,271.5
1902-09-01,273.5
1902-10-01,259.0
1902-11-01,246.5
1902-12-01,237.0
1903-01-01,251.5
1903-02-01,249.5
1903-03-01,233.5
